<CorrectionSettings>
  <RootSensorByLocation>false</RootSensorByLocation>
  <SensorReference>
    <Plate Index="0" Size="96">
      <RefWells>A2, B2, C2, D2, E2, F2, G2</RefWells>
      <RefLoadWells />
      <RefDetectionWells />
      <RefGroup>
        <RefWells>A2</RefWells>
        <RelatedWells>A1</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>B2</RefWells>
        <RelatedWells>B1</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>C2</RefWells>
        <RelatedWells>C1</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>D2</RefWells>
        <RelatedWells>D1</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>E2</RefWells>
        <RelatedWells>E1</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>F2</RefWells>
        <RelatedWells>F1</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>G2</RefWells>
        <RelatedWells>G1</RelatedWells>
      </RefGroup>
      <ExcludeWells />
    </Plate>
    <GroupRefByPlate>false</GroupRefByPlate>
  </SensorReference>
  <SampleReference>
    <Plate Index="0" Size="96">
      <RefWells>A5, A6, A7</RefWells>
      <RefLoadWells />
      <RefDetectionWells />
      <RefGroup>
        <RefWells>A5</RefWells>
        <RelatedWells>B5, C5, D5, E5, F5, G5</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>A6</RefWells>
        <RelatedWells>B6, C6, D6, E6, F6, G6</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>A7</RefWells>
        <RelatedWells>B7, C7, D7, E7, F7, G7</RelatedWells>
      </RefGroup>
      <ExcludeWells />
    </Plate>
    <GroupRefByPlate>false</GroupRefByPlate>
  </SampleReference>
  <AlignmentSettings>
    <AlignYCorrection>AverageBaseline</AlignYCorrection>
    <AlignYStart>115.007006835938</AlignYStart>
    <AlignYEnd>120.007006835938</AlignYEnd>
    <InterstepCorrection>None</InterstepCorrection>
    <InterstepCorrectionTime>0</InterstepCorrectionTime>
    <SavitzkyGolayFilter>true</SavitzkyGolayFilter>
  </AlignmentSettings>
  <ExportOptions>
    <ReportOption>ExperimentSummary RawAndAlignedData SensorTrayImage SamplePlateImage SensorTrayTable SamplePlateTable</ReportOption>
  </ExportOptions>
</CorrectionSettings>
 Data Alignment: None
 Data Alignment Step: 0
t1B1c1, t1B1c1, t1C1c1, t1C1c1, t1D1c1, t1D1c1, t1E1c1, t1E1c1, t1F1c1, t1F1c1, t1G1c1, t1G1c1, 
Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, 
p1B6, , p1C6, , p1D6, , p1E6, , p1F6, , p1G6, , 
X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, 
1680.04, 0.00494083, 1680.04, 0.00247826, 1680.04, 0.00395441, 1680.04, 0.00130552, 1680.04, 0.00214218, 1680.04, 0.00063562, 
1680.24, 0.00550004, 1680.24, 0.00221943, 1680.24, 0.00353825, 1680.24, 0.00105126, 1680.24, 0.00205455, 1680.24, 0.00119046, 
1680.44, 0.00549585, 1680.44, 0.00136222, 1680.44, 0.00289923, 1680.44, 0.00026723, 1680.44, 0.00156703, 1680.44, 0.00095919, 
1680.64, 0.00637254, 1680.64, 0.00065164, 1680.64, 0.00244961, 1680.64, -0.00016363, 1680.64, 0.00102968, 1680.64, 0.0010479, 
1680.84, 0.00690446, 1680.84, 0.00025393, 1680.84, 0.00199278, 1680.84, -0.00070673, 1680.84, 0.00053991, 1680.84, 0.00132023, 
1681.04, 0.00730189, 1681.04, -0.00017923, 1681.04, 0.00206014, 1681.04, -0.0009413, 1681.04, 0.00028919, 1681.04, 0.00171988, 
1681.24, 0.00816121, 1681.24, -0.00019907, 1681.24, 0.00184456, 1681.24, -0.00104462, 1681.24, 0.00029908, 1681.24, 0.00199222, 
1681.44, 0.00875758, 1681.44, -0.00065676, 1681.44, 0.00178154, 1681.44, -0.00155364, 1681.44, 0.00029386, 1681.44, 0.00147216, 
1681.64, 0.00959683, 1681.64, -0.00038974, 1681.64, 0.00207334, 1681.64, -0.00159701, 1681.64, 0.00091571, 1681.64, 0.00107703, 
1681.84, 0.01057553, 1681.84, 0.00003118, 1681.84, 0.00204977, 1681.84, -0.00150985, 1681.84, 0.00130994, 1681.84, 0.00099338, 
1682.04, 0.01145756, 1682.04, 0.00049289, 1682.04, 0.00200415, 1682.04, -0.00171164, 1682.04, 0.00140683, 1682.04, 0.0008521, 
1682.24, 0.01166445, 1682.24, 0.00031067, 1682.24, 0.00147814, 1682.24, -0.00216486, 1682.24, 0.00093854, 1682.24, 0.00027877, 
1682.44, 0.01233878, 1682.44, 0.00062437, 1682.44, 0.00146672, 1682.44, -0.00219292, 1682.44, 0.00078699, 1682.44, 0.00079191, 
1682.64, 0.01278763, 1682.64, 0.00032967, 1682.64, 0.00159611, 1682.64, -0.00280886, 1682.64, -0.0001871, 1682.64, 0.00018921, 
1682.84, 0.0133018, 1682.84, 0.00088797, 1682.84, 0.00192531, 1682.84, -0.00262648, 1682.84, -0.00057934, 1682.84, -0.00017089, 
1683.04, 0.01355338, 1683.04, 0.00034781, 1683.04, 0.00179987, 1683.04, -0.00309668, 1683.04, -0.00109113, 1683.04, -0.00078833, 
