 Data Alignment: None,,,,,,,,,,,,,,,
 Data Alignment Step: 0,,,,,,,,,,,,,,,
C:\Users\Labuser\Desktop\Laras\20230125_AR2G_1OLD\Experiment_1, 230125_001.frd, 230125_002.frd, 230125_003.frd, 230125_004.frd, 230125_005.frd, 230125_006.frd, 230125_007.frd, 230125_008.frd, 230125_009.frd, 230125_010.frd, 230125_011.frd, 230125_012.frd, 230125_013.frd, 230125_014.frd, 
X Values, A1, B1, C1, D1, E1, F1, G1, A2, B2, C2, D2, E2, F2, G2, 
1680.04,-0.14059331,-0.14180091,-0.10336225,-0.10439464,-0.10363098,-0.07765363,-0.08408497,-0.17677152,-0.2251247,-0.2032195,-0.19212237,-0.20228657,-0.19517148,-0.16285498, 
1680.24,-0.14382389,-0.13547894,-0.10432293,-0.10499401,-0.10301159,-0.07654155,-0.08394456,-0.18076833,-0.22048946,-0.20463565,-0.19154061,-0.20207006,-0.18959716,-0.16635096, 
1680.44,-0.13852829,-0.13226241,-0.10375369,-0.10247906,-0.10304249,-0.08284093,-0.07884783,-0.18207955,-0.22149403,-0.20119515,-0.19123363,-0.20206587,-0.19579649,-0.16114195, 
1680.63,-0.14367171,-0.13352586,-0.10343049,-0.10574771,-0.10165052,-0.08157843,-0.08133499,-0.17743014,-0.21796201,-0.20480862,-0.18970522,-0.19963713,-0.19693656,-0.16198795, 
1680.85,-0.13821286,-0.13171628,-0.10517006,-0.10434699,-0.10571715,-0.08152074,-0.08108629,-0.17582509,-0.21705168,-0.19947226,-0.19217293,-0.19999406,-0.19642486,-0.164451, 
1681.05,-0.1386884,-0.12676454,-0.10829026,-0.10645123,-0.10404095,-0.0769491,-0.08120011,-0.17907538,-0.21476573,-0.20397975,-0.19006254,-0.2017816,-0.19676407,-0.1645875, 
1681.22,-0.13981219,-0.12575753,-0.09881816,-0.10658499,-0.10553435,-0.07929357,-0.08001602,-0.17886584,-0.21686357,-0.20520677,-0.19202779,-0.20145299,-0.19643883,-0.16539338, 
1681.44,-0.13730122,-0.12347675,-0.10367247,-0.10561278,-0.10201992,-0.07676144,-0.08433953,-0.17931183,-0.21600038,-0.20020233,-0.18884164,-0.2012668,-0.19879328,-0.16544662, 
1681.64,-0.14150068,-0.11761048,-0.1075161,-0.10424748,-0.10324292,-0.07936416,-0.07955203,-0.18058871,-0.21087322,-0.20332925,-0.1932646,-0.20094739,-0.19594581,-0.16557983, 
1681.83,-0.14268158,-0.11899738,-0.10549045,-0.10420395,-0.10367026,-0.07575262,-0.08259363,-0.17900281,-0.21159019,-0.20014794,-0.19323167,-0.20448281,-0.19621494,-0.16726382, 
1682.05,-0.136466,-0.11945023,-0.10133658,-0.10567497,-0.1048155,-0.07935993,-0.08136637,-0.17819358,-0.21283187,-0.20447782,-0.19300874,-0.19937104,-0.19261648,-0.16425136, 
1682.22,-0.13883522,-0.11869468,-0.10696514,-0.1052356,-0.10408045,-0.07936909,-0.08557472,-0.17836848,-0.20826919,-0.20105965,-0.19111723,-0.19780435,-0.19181366,-0.16219135, 
1682.42,-0.14301413,-0.11463839,-0.1046923,-0.10389376,-0.10361744,-0.07877888,-0.08346731,-0.17858751,-0.21142133,-0.2039441,-0.19021899,-0.20115371,-0.19265868,-0.16729848, 
1682.64,-0.14009145,-0.11699142,-0.10537152,-0.10482667,-0.10140962,-0.07769927,-0.08415157,-0.17755771,-0.20475566,-0.20639925,-0.19150187,-0.19669384,-0.19520997,-0.16613661, 
1682.84,-0.14118651,-0.11241867,-0.10626402,-0.10744922,-0.10427569,-0.08071654,-0.08414349,-0.17909847,-0.20625459,-0.20489429,-0.19625027,-0.2024135,-0.19994782,-0.1634485, 
1683.03,-0.14070792,-0.10588452,-0.10266191,-0.10631897,-0.10200276,-0.07576106,-0.08507393,-0.18143654,-0.20635135,-0.20628841,-0.19050042,-0.19888072,-0.19615969,-0.1633705, 
1683.25,-0.13792686,-0.10804082,-0.10525528,-0.10246487,-0.10597092,-0.07741887,-0.08652136,-0.18027321,-0.20494269,-0.20536597,-0.19276206,-0.20188132,-0.19702846,-0.16493386, 
1683.42,-0.14017069,-0.1083053,-0.1043832,-0.10582486,-0.10374153,-0.07967761,-0.08185533,-0.1769546,-0.20432818,-0.20707384,-0.188963,-0.20018646,-0.19521451,-0.16448691, 
1683.62,-0.13958338,-0.10408749,-0.10328178,-0.1084462,-0.10464034,-0.08254965,-0.0787747,-0.18045698,-0.20234053,-0.20204686,-0.1897182,-0.19921905,-0.19245818,-0.16547973, 
1683.84,-0.13606147,-0.105351,-0.10579205,-0.10693835,-0.10442363,-0.08251495,-0.08396728,-0.17876896,-0.20279133,-0.20344993,-0.19341525,-0.19757928,-0.19484389,-0.16742532, 
1684.03,-0.13860942,-0.10222543,-0.10724603,-0.10665189,-0.10550572,-0.08097638,-0.08281069,-0.18296848,-0.20078813,-0.20441599,-0.19489786,-0.20356476,-0.19758423,-0.16712828, 
1684.23,-0.14332624,-0.10149308,-0.10504354,-0.10456135,-0.10558587,-0.07889811,-0.08361196,-0.1780553,-0.20090622,-0.20311569,-0.19335248,-0.19922805,-0.1965484,-0.16473828, 
1684.44,-0.13873269,-0.09837676,-0.10217923,-0.10324248,-0.10253699,-0.07826924,-0.08286924,-0.18140782,-0.201141,-0.20310079,-0.19413505,-0.19980367,-0.19567591,-0.15842284, 
1684.62,-0.13961622,-0.09698749,-0.10174756,-0.10911795,-0.10320222,-0.07880214,-0.08142544,-0.18320665,-0.20055053,-0.20152073,-0.19364847,-0.20303217,-0.1996436,-0.16357528, 
1684.83,-0.14063808,-0.09496457,-0.10235841,-0.10873385,-0.10399361,-0.07569519,-0.085456,-0.18235649,-0.20098974,-0.20030551,-0.1905262,-0.19930078,-0.19842112,-0.16848326, 
1685.04,-0.14123251,-0.09502459,-0.1035996,-0.10713222,-0.10533909,-0.08020137,-0.08164708,-0.17946635,-0.20033517,-0.20534329,-0.19271898,-0.20057416,-0.20003794,-0.16701505, 
1685.23,-0.13935116,-0.09233919,-0.10383239,-0.10819329,-0.10483316,-0.08189028,-0.08364683,-0.17756958,-0.1999685,-0.20202516,-0.1930075,-0.19821332,-0.19700868,-0.16601034, 
1685.45,-0.14112471,-0.0931423,-0.10481663,-0.10575271,-0.10042914,-0.07868371,-0.08258692,-0.17725129,-0.19803341,-0.20413984,-0.19039138,-0.20112585,-0.19406851,-0.16611677, 
1685.64,-0.13573892,-0.09209742,-0.10321818,-0.10730194,-0.10433639,-0.082329,-0.08306976,-0.18083698,-0.19744331,-0.20350908,-0.19254179,-0.20362175,-0.19461334,-0.16036381, 
1685.82,-0.13814732,-0.09232767,-0.10494258,-0.10720316,-0.10655641,-0.08265618,-0.07980992,-0.18185991,-0.19819388,-0.20138302,-0.1921225,-0.20514736,-0.19515204,-0.16600493, 
1686.04,-0.13799271,-0.0889832,-0.10204497,-0.11024069,-0.10373995,-0.07887067,-0.08641004,-0.18150178,-0.19322369,-0.20388673,-0.18941213,-0.20319206,-0.19455095,-0.16358164, 
1686.24,-0.13770686,-0.09171026,-0.1067183,-0.10327534,-0.10275631,-0.08011099,-0.0830499,-0.17973724,-0.19663024,-0.20484862,-0.19040199,-0.20015438,-0.19526547,-0.16544659, 
1686.45,-0.14059068,-0.08598902,-0.1017061,-0.10549638,-0.10163623,-0.07665087,-0.08119187,-0.17853552,-0.19202389,-0.20752946,-0.19431292,-0.20178723,-0.19780344,-0.16219939, 
1686.63,-0.13900512,-0.08269536,-0.10172413,-0.10896337,-0.10282226,-0.07558163,-0.08451499,-0.17896274,-0.19726503,-0.20062585,-0.18876675,-0.2021164,-0.19961974,-0.16332403, 
1686.84,-0.14353418,-0.08181662,-0.10226664,-0.10352482,-0.1043071,-0.07994439,-0.08140351,-0.18012613,-0.19519757,-0.20147227,-0.19250882,-0.19975014,-0.19417845,-0.16262601, 
