 Data Alignment: None,,,,,,,,,,,,,,,,,
 Data Alignment Step: 0,,,,,,,,,,,,,,,,,
C:\Users\Labuser\Desktop\Laras\20230125_AR2G_1OLD_INVERSE\Experiment_1, 230125_001.frd, 230125_002.frd, 230125_003.frd, 230125_004.frd, 230125_005.frd, 230125_006.frd, 230125_007.frd, 230125_008.frd, 230125_009.frd, 230125_010.frd, 230125_011.frd, 230125_012.frd, 230125_013.frd, 230125_014.frd, 230125_015.frd, 230125_016.frd, 
X Values, A3, B3, C3, D3, E3, F3, G3, H3, A4, B4, C4, D4, E4, F4, G4, H4, 
1680.02,0.32013413,0.46701631,0.33901596,0.33021894,0.27234763,0.38923949,0.28978258,-0.17914602,-0.0990984,-0.10153821,-0.1122824,-0.14631426,-0.14746176,-0.16323981,-0.11846707,-0.25479949, 
1680.22,0.32090065,0.50079161,0.33378312,0.3333852,0.27397278,0.38727728,0.29019845,-0.17059076,-0.09777498,-0.10285148,-0.12056476,-0.14297979,-0.14666517,-0.16166328,-0.11844456,-0.2533119, 
1680.41,0.31921217,0.53594542,0.33440721,0.33452004,0.27431312,0.38705644,0.29191145,-0.17209008,-0.1000879,-0.09371823,-0.11737878,-0.1407471,-0.14790845,-0.16001,-0.11641439,-0.25122333, 
1680.63,0.32277873,0.54530114,0.334571,0.33380225,0.27422366,0.3879033,0.29187906,-0.17139433,-0.10115894,-0.09179705,-0.11927621,-0.1455453,-0.14615844,-0.1606838,-0.12030704,-0.25449726, 
1680.83,0.32041004,0.53983092,0.33647662,0.3337822,0.27926642,0.38734049,0.2957775,-0.17446953,-0.10205194,-0.08895193,-0.12082194,-0.14079322,-0.14647213,-0.16183195,-0.12076774,-0.25495109, 
1681.03,0.32489598,0.52408212,0.33411491,0.33686259,0.27518725,0.38664523,0.29376194,-0.17147252,-0.10154396,-0.08616852,-0.11841253,-0.14138712,-0.14623481,-0.15557687,-0.12017975,-0.25221714, 
1681.21,0.32117245,0.51788461,0.33409247,0.3348977,0.27519241,0.38908082,0.29473862,-0.17148936,-0.0993433,-0.08307062,-0.11575233,-0.14179632,-0.14573938,-0.15973303,-0.11839452,-0.25481009, 
1681.42,0.32319847,0.50563812,0.33468461,0.33112386,0.27443475,0.38795581,0.29064882,-0.1734186,-0.09974562,-0.08237009,-0.11683421,-0.1425595,-0.14933765,-0.16031657,-0.11914105,-0.25383556, 
1681.63,0.32169014,0.5023492,0.33419824,0.33232546,0.27089345,0.39193225,0.29255262,-0.17526846,-0.10095963,-0.08644483,-0.11719628,-0.14070685,-0.14577185,-0.15864415,-0.12052711,-0.2547034, 
1681.81,0.31863135,0.50113279,0.33406797,0.33158255,0.27512503,0.39289683,0.29169735,-0.17120259,-0.09972782,-0.08393385,-0.11680369,-0.14158909,-0.14908434,-0.15703157,-0.12267238,-0.25221583, 
1682.03,0.3195847,0.49679279,0.33410147,0.33386391,0.27028754,0.38870266,0.29251796,-0.172874,-0.09963689,-0.08450599,-0.11588015,-0.14089416,-0.14895609,-0.1573126,-0.12062608,-0.25383648, 
1682.23,0.31885326,0.49278784,0.33642298,0.3336553,0.27345607,0.38721046,0.2957443,-0.17135768,-0.09808137,-0.08070146,-0.11636881,-0.14198031,-0.14931369,-0.15502524,-0.11640304,-0.2541725, 
1682.42,0.32210946,0.49125099,0.33382362,0.3342036,0.27349949,0.38641983,0.29313776,-0.17368589,-0.10028688,-0.08182649,-0.1166786,-0.14429359,-0.14933148,-0.15564297,-0.115207,-0.25584579, 
1682.63,0.32071447,0.49437335,0.33629003,0.3320803,0.27612978,0.38934717,0.29491425,-0.17260541,-0.09861111,-0.08288877,-0.11663561,-0.14098893,-0.15162228,-0.15540351,-0.11928904,-0.25527406, 
1682.83,0.32086763,0.49287584,0.33880821,0.3315953,0.27185842,0.38999957,0.29235438,-0.17638342,-0.10204768,-0.08269273,-0.11956423,-0.13875118,-0.14942163,-0.15851609,-0.12113697,-0.25430569, 
1683.02,0.32454798,0.49834058,0.33488998,0.33465603,0.27409896,0.38503653,0.29548702,-0.17390601,-0.09709112,-0.08337973,-0.11738195,-0.13991043,-0.15210204,-0.15975012,-0.11874341,-0.25445867, 
1683.23,0.32276708,0.49835277,0.33198643,0.33290252,0.27519393,0.38532913,0.2965613,-0.17145073,-0.1002262,-0.08286219,-0.12054141,-0.14178741,-0.14833382,-0.15518506,-0.12028489,-0.25526765, 
1683.42,0.32478264,0.50011778,0.33158824,0.33363959,0.27630195,0.3895528,0.29119155,-0.17092533,-0.10084503,-0.08996516,-0.11570153,-0.1437207,-0.14737591,-0.16214375,-0.11602719,-0.24973676, 
1683.61,0.32264242,0.50078368,0.33625379,0.33348209,0.26883662,0.38792396,0.28995383,-0.17222369,-0.0983614,-0.08009551,-0.11285784,-0.14003457,-0.14816345,-0.1623566,-0.11760909,-0.25548446, 
1683.83,0.32065934,0.51043844,0.33421934,0.33422533,0.27360001,0.38692731,0.29170185,-0.17233361,-0.10275315,-0.08000722,-0.11831133,-0.14147495,-0.14408617,-0.15985516,-0.11937357,-0.25428557, 
1684.03,0.32368636,0.51069617,0.33634579,0.33500257,0.27164444,0.38686413,0.29336703,-0.17000212,-0.10172829,-0.08806956,-0.11729828,-0.14281869,-0.14497617,-0.1607329,-0.1187318,-0.25363702, 
1684.23,0.32141542,0.51217341,0.33472019,0.33320972,0.27235505,0.38592699,0.29493788,-0.17626867,-0.09944401,-0.08246993,-0.12075521,-0.14310892,-0.14505656,-0.1620325,-0.11846764,-0.25357938, 
1684.43,0.32243001,0.51951528,0.34023771,0.33265615,0.27424332,0.38586754,0.28971177,-0.1696309,-0.09964778,-0.08313914,-0.11257394,-0.14444853,-0.14672135,-0.16117454,-0.11525442,-0.25492221, 
1684.62,0.3211779,0.52103943,0.33766925,0.33768299,0.27274284,0.38622007,0.29015413,-0.17330594,-0.10153008,-0.08194961,-0.11780607,-0.14362113,-0.1468749,-0.16374704,-0.11998449,-0.25127611, 
1684.83,0.32335174,0.52723527,0.33674428,0.33368382,0.27590498,0.38578185,0.29245663,-0.17227839,-0.09878767,-0.08597643,-0.11547145,-0.13844976,-0.14587472,-0.15608023,-0.11772131,-0.2562241, 
1685.03,0.31822768,0.53000414,0.33699769,0.3298026,0.27232152,0.38753316,0.29216668,-0.1762964,-0.1003981,-0.08292504,-0.1161986,-0.14262605,-0.14347796,-0.15900527,-0.11658105,-0.25690836, 
1685.23,0.3198469,0.53521019,0.33770189,0.33409607,0.27079847,0.39047837,0.29063779,-0.17077725,-0.10112637,-0.08185776,-0.11877399,-0.14519008,-0.14606617,-0.15446317,-0.11750144,-0.25438744, 
1685.43,0.32306662,0.54214507,0.33428326,0.33592689,0.27299663,0.38983551,0.28956619,-0.1753175,-0.0976918,-0.08410802,-0.11626283,-0.14222521,-0.14685881,-0.15933816,-0.11925906,-0.2553637, 
1685.62,0.32068014,0.53785753,0.33744329,0.33691972,0.27689219,0.38695839,0.29244342,-0.17070334,-0.10120652,-0.0816697,-0.11540195,-0.14614975,-0.14358097,-0.15720209,-0.1208387,-0.25502199, 
1685.82,0.31963193,0.54686844,0.33671042,0.3378219,0.27744633,0.38491216,0.29404593,-0.17332676,-0.09890129,-0.08246085,-0.11846194,-0.14341958,-0.15012319,-0.15859658,-0.11845413,-0.25136048, 
1686.03,0.32063106,0.54905593,0.33299857,0.33434859,0.27264988,0.39008394,0.29016906,-0.1762462,-0.09897406,-0.08362471,-0.11754623,-0.14235958,-0.14837469,-0.16130324,-0.11654863,-0.25643209, 
1686.21,0.32015431,0.54801989,0.33548462,0.3326723,0.27404651,0.38802609,0.29304391,-0.17301552,-0.10337012,-0.08492848,-0.11713878,-0.14439277,-0.14407498,-0.16169849,-0.12051796,-0.25569922, 
1686.43,0.31995204,0.55757397,0.33503845,0.3324914,0.27643114,0.38793948,0.29426366,-0.17182481,-0.10070928,-0.07883123,-0.11803991,-0.14163676,-0.14595339,-0.15967886,-0.11910745,-0.257211, 
1686.63,0.32218084,0.55757493,0.33620778,0.33240131,0.27271706,0.39051333,0.29064769,-0.1700801,-0.09865344,-0.08550333,-0.1150467,-0.14370012,-0.15056247,-0.15564594,-0.11755858,-0.25606415, 
1686.81,0.3212333,0.55770773,0.33622938,0.33177227,0.27617794,0.39064842,0.29162687,-0.17317173,-0.10025137,-0.08317658,-0.11801296,-0.14266965,-0.14550237,-0.16240211,-0.1251018,-0.25538769, 
1687.02,0.32226455,0.55850953,0.33512893,0.33140379,0.2713941,0.38468796,0.29422328,-0.17453504,-0.09771435,-0.08141963,-0.11713844,-0.14092457,-0.14766169,-0.15607195,-0.11918966,-0.25201815, 
1687.23,0.32179767,0.563384,0.33738932,0.33528721,0.27429509,0.39052513,0.29211468,-0.1723292,-0.09620138,-0.08228932,-0.12013696,-0.14347026,-0.14723904,-0.16102047,-0.11773992,-0.25678352, 
1687.41,0.32153654,0.57293838,0.33787173,0.33241439,0.2704123,0.38620585,0.2908304,-0.17087878,-0.09810454,-0.08013177,-0.11710221,-0.14248632,-0.14481729,-0.16315019,-0.12102702,-0.25726619, 
1687.63,0.32130787,0.57373041,0.33438054,0.33404285,0.27520907,0.3864108,0.29035115,-0.17231396,-0.10428169,-0.08336087,-0.1177055,-0.14698511,-0.14926894,-0.15546966,-0.1223131,-0.25719142, 
1687.82,0.32126409,0.57370037,0.33840021,0.33378091,0.27388793,0.38767353,0.29146388,-0.17152564,-0.10167436,-0.08334148,-0.11749718,-0.14732131,-0.14994238,-0.15863901,-0.11976812,-0.25677291, 
1688.01,0.32301244,0.57463729,0.33993006,0.3351776,0.27327424,0.38662136,0.29387465,-0.17467584,-0.10232996,-0.08408134,-0.11793432,-0.14315504,-0.14660217,-0.15875952,-0.1197425,-0.25374153, 
1688.22,0.31895655,0.57725805,0.3361215,0.33345354,0.27015901,0.38767368,0.29424605,-0.16745561,-0.09979898,-0.07793771,-0.11915667,-0.14469263,-0.14749862,-0.15565841,-0.11825,-0.25683105, 
1688.43,0.31968626,0.57875228,0.33656484,0.33034375,0.27425283,0.38568011,0.29053611,-0.17411947,-0.10679604,-0.08382121,-0.11738995,-0.14445782,-0.14662203,-0.16070959,-0.12260916,-0.25040367, 
1688.61,0.32072151,0.58456725,0.33374783,0.33330405,0.27052486,0.38794458,0.29524383,-0.17262219,-0.09790985,-0.08415356,-0.1180289,-0.14203817,-0.14320987,-0.1573787,-0.11979151,-0.25442299, 
1688.83,0.32330021,0.58511841,0.33587733,0.33457145,0.27062666,0.38762411,0.29088262,-0.17150441,-0.10289009,-0.08493833,-0.11164532,-0.14610182,-0.14678285,-0.15994903,-0.12169363,-0.25324583, 
1689.02,0.32350469,0.58702952,0.33492881,0.33290002,0.27293289,0.38708553,0.28931272,-0.17435175,-0.09959366,-0.08151412,-0.11557217,-0.14593467,-0.14359173,-0.1586753,-0.11639726,-0.25791037, 
1689.21,0.31897083,0.58565664,0.33503374,0.33014283,0.27205792,0.38864574,0.28928024,-0.17592651,-0.09971891,-0.08163533,-0.11459047,-0.14370015,-0.14616351,-0.15731184,-0.12053169,-0.25755164, 
1689.43,0.32280591,0.59284997,0.33532751,0.33568618,0.27279878,0.38523337,0.29434216,-0.17275999,-0.10038766,-0.08251671,-0.11850525,-0.14361742,-0.14417878,-0.15940203,-0.12116359,-0.25534922, 
1689.63,0.31973478,0.59330869,0.33784381,0.33162427,0.27521649,0.39041618,0.29455334,-0.1713493,-0.10136244,-0.08179143,-0.1166403,-0.1433233,-0.14499782,-0.15607652,-0.11970414,-0.25501668, 
1689.82,0.31972951,0.59483469,0.33702496,0.33432537,0.27257597,0.38933834,0.29278636,-0.17218027,-0.09988368,-0.08442688,-0.11666583,-0.14407092,-0.14707842,-0.15657263,-0.11414997,-0.25543094, 
1690.02,0.32072464,0.59853446,0.33378899,0.33306646,0.27270558,0.38750908,0.29487735,-0.17249818,-0.09971136,-0.08218915,-0.11726158,-0.14206389,-0.14412385,-0.15945773,-0.12161418,-0.2550413, 
1690.22,0.3219009,0.60014093,0.33812964,0.33361977,0.27348891,0.39627793,0.2915214,-0.17220874,-0.1003397,-0.08244431,-0.11880188,-0.14217553,-0.14802082,-0.16014366,-0.11589428,-0.25440812, 
1690.41,0.32057956,0.59837902,0.3392109,0.33442876,0.27371395,0.39024299,0.29048967,-0.1698278,-0.10034887,-0.08185553,-0.11518234,-0.14513813,-0.15075102,-0.16203742,-0.1201065,-0.25263935, 
1690.63,0.32009447,0.60296595,0.33660531,0.33205035,0.27134097,0.38786671,0.29048395,-0.17314073,-0.10173934,-0.08041783,-0.11688737,-0.14502147,-0.14838807,-0.16322805,-0.11868551,-0.25426814, 
1690.83,0.32244372,0.60398585,0.33952132,0.33312505,0.27091184,0.38746226,0.28994372,-0.16971324,-0.0994113,-0.08199745,-0.11690456,-0.14507297,-0.14347805,-0.15756267,-0.11773419,-0.25603092, 
1691.03,0.32132715,0.60748434,0.33639476,0.33178425,0.26765358,0.38584056,0.2950519,-0.17313017,-0.09921045,-0.08073508,-0.11476337,-0.14320095,-0.14848563,-0.15878107,-0.12069917,-0.25409877, 
1691.22,0.32080537,0.6076892,0.33829483,0.33432221,0.27059016,0.38523194,0.29280964,-0.17118376,-0.09659383,-0.08295958,-0.11851788,-0.14236295,-0.14654203,-0.16144323,-0.11834393,-0.25207335, 
1691.42,0.31831148,0.60789257,0.34098744,0.33269796,0.27123088,0.38893232,0.29192534,-0.17480806,-0.10177711,-0.08403239,-0.11827303,-0.14154898,-0.14387499,-0.16068533,-0.11892233,-0.25276852, 
